Single_Public_LB,all_valid_metric,mean_valid_metric,run_id,num_classes,output_path,train_data,epochs,folds,train_batch_size,valid_batch_size,test_batch_size,use_amp,model_name,model_custom_header,max_length,dropout,mixout,init_layer,learning_rate,scheduler_name,min_lr,T_max,weight_decay,n_accumulate,remark,save_checkpoint,seed
0.755,0.737342,0.737031,roberta-large_cat4_batch4_acc8_seed0,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed0/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,0
0.703,0.691152,0.691405,roberta-large_cat4_batch4_acc8_seed1,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed1/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,1
0.651,0.662116,0.661627,roberta-large_cat4_batch4_acc8_seed2,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed2/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,2
0.705,0.70852,0.70956,roberta-large_cat4_batch4_acc8_seed3,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed3/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,3
0.685,0.593002,0.534125,roberta-large_cat4_batch4_acc8_seed4,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed4/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,4
0.752,0.723005,0.722984,roberta-large_cat4_batch4_acc8_seed5,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed5/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,5
0.760,0.711921,0.714895,roberta-large_cat4_batch4_acc8_seed6,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed6/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,6
0.764,0.703518,0.699871,roberta-large_cat4_batch4_acc8_seed7,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed7/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,7
0.751,0.68932,0.68254,roberta-large_cat4_batch4_acc8_seed8,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed8/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,8
0.695,0.629091,0.568414,roberta-large_cat4_batch4_acc8_seed9,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/roberta-large_cat4_batch4_acc8_seed9/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,9
